Oligo_Number,K562_Rep_1_Normalized_Edit_Score,K562_Rep_3_Normalized_Edit_Score,K562_Rep_2_Normalized_Edit_Score,K562_Rep_4_Normalized_Edit_Score,HEK293T_Rep_4_Normalized_Edit_Score,HEK293T_Rep_3_Normalized_Edit_Score,HEK293T_Rep_2_Normalized_Edit_Score,HEK293T_Rep_1_Normalized_Edit_Score,iPSC_Rep_1_Normalized_Edit_Score,iPSC_Rep_2_Normalized_Edit_Score,iPSC_Rep_4_Normalized_Edit_Score,iPSC_Rep_3_Normalized_Edit_Score
92,NA,NA,NA,NA,0.01213448,NA,0.164029111,0.195930447,NA,NA,0.181163608,NA
74,NA,NA,NA,NA,0.363118971,1.378573476,0.178955691,0.513024083,3.13735082,0.4297555,1.228249963,1.926752829
25,NA,NA,NA,NA,0.020760509,0.07418055,0.046772062,0.134084556,0.307493088,0.131041616,0.116230222,0.073438503
178,NA,NA,NA,NA,2.269489696,0.389079788,0.058102398,0.041641494,NA,2.116216657,0.28877301,1.915802102
46,NA,NA,NA,NA,0.22452972,0.033958935,NA,0.172637565,0.211149778,0.134975756,0.838037856,0.52950295
59,NA,NA,NA,NA,0.021076313,0.200823903,3.941134315,0.068062107,NA,0.133034984,1.61264321,0.745556288
287,NA,NA,NA,NA,6.432027875,0.624219916,0.161010397,4.754265005,NA,NA,4.748049217,NA
50,NA,NA,NA,NA,0.028542354,0.793226757,0.192912137,NA,NA,0.360322193,0.142042505,NA
33,NA,NA,NA,NA,0.02734849,0.325734787,4.025470846,0.08831696,0.270047057,NA,0.102075886,NA
34,NA,NA,NA,NA,0.043922302,0.04882617,3.285274737,NA,NA,NA,0.032787243,NA
174,NA,NA,NA,NA,0.097115981,0.711157531,NA,0.034846483,NA,NA,0.76522931,NA
248,NA,NA,NA,NA,1.614572596,3.855647764,0.135728577,0.077820413,0.23795173,3.954825768,2.788266427,1.278674019
37,NA,NA,NA,NA,1.572504625,0.620900145,NA,0.083247817,0.763641363,NA,0.03207234,NA
247,NA,NA,NA,NA,2.943339629,2.520932001,0.09934308,0.14239668,0.979665284,NA,3.415049557,0.077991077
291,NA,NA,NA,NA,0.175301542,2.90454656,3.422837993,NA,0.115398608,3.393310045,1.744794448,3.638002203
48,NA,NA,NA,NA,NA,NA,NA,0.049695486,0.075977025,NA,0.028718781,NA
88,NA,NA,NA,NA,2.432765552,0.582676862,0.017970035,0.103031771,NA,0.503467744,0.02977078,0.90289283
128,NA,NA,NA,NA,0.033456825,0.564525012,0.018844007,2.295907671,0.165181279,NA,NA,0.828454336
70,NA,NA,NA,NA,0.051832712,0.041156976,0.050046725,0.095648165,0.073115926,NA,0.027637305,NA
71,NA,NA,NA,NA,0.062831398,0.254994947,0.031456668,0.180357813,0.206805251,0.176264738,0.156341857,0.04939125
28,NA,NA,NA,NA,0.025053033,0.169090326,0.028221418,0.02022605,0.371071552,0.158136289,0.046754145,0.088622933
306,NA,NA,NA,NA,2.54696153,4.362554039,0.061480037,0.205623691,2.425125458,2.985650243,3.66672138,4.054345046
82,NA,NA,NA,NA,0.066858281,0.178568056,0.136933917,NA,1.740470272,0.690567694,0.181485657,1.806041032
280,NA,NA,NA,NA,2.873647359,0.6327614,3.064788255,0.285935909,0.794824689,3.658212975,NA,1.082018436
94,NA,NA,NA,NA,0.010261508,0.708875535,0.011559252,0.049706505,0.05066258,0.582941469,0.555352859,NA
